donor,amount,party,entity,color,partyname,entityname
Unite,12426848,lab,union,#F02233,Labour,Trade Union
UNISON,5846082,lab,union,#F02233,Labour,Trade Union
GMB,5154811,lab,union,#F02233,Labour,Trade Union
USDAW,4688206,lab,union,#F02233,Labour,Trade Union
CWU,1884430,lab,union,#F02233,Labour,Trade Union
UCATT,456978,lab,union,#F02233,Labour,Trade Union
Community,451099,lab,union,#F02233,Labour,Trade Union
TSSA,214037,lab,union,#F02233,Labour,Trade Union
ASLEF,187001,lab,union,#F02233,Labour,Trade Union
Musicians Union,95850,lab,union,#F02233,Labour,Trade Union
BECTU,32549,lab,union,#F02233,Labour,Trade Union
BFAWU,26758,lab,union,#F02233,Labour,Trade Union
FBU,10000,lab,union,#F02233,Labour,Trade Union
Conservative Draws,2793000,con,society,#087FBD,Conservatives,Society
Focus on Scotland,265000,con,society,#087FBD,Conservatives,Society
The Spring Lunch,180000,con,society,#087FBD,Conservatives,Society
United and Cecil Club,97450,con,society,#087FBD,Conservatives,Society
Watford Business Club,56100,con,society,#087FBD,Conservatives,Society
Magna Carta Club,60000,con,society,#087FBD,Conservatives,Society
